"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Design Considerations for Pixelated Antennas Regarding Pixel Size and Symmetry","D. Mair; M. Renzler; R. Rueland","Department of Mechatronics, Universität Innsbruck, Austria; Department of Mechatronics, Universität Innsbruck, Austria; Department of Mechatronics, Universität Innsbruck, Austria",2024 International Symposium on Electromagnetic Compatibility – EMC Europe,"25 Oct 2024","2024","","","226","231","Pixelated structures offer a unique possibility to design and optimize antennas tailor-made for very specific and challenging application scenarios, where conventional antenna design may lead to unsatisfactory results. Several different optimization techniques can be applied to these structures, depending on the desired goals and applications, making pixelated antennas very versatile fundamental structures. In this study, we investigate the optimization of pixelated antennas with a focus on the effects of pixel size and asymmetrical design approaches on gain. By simulation techniques and optimization algorithms, including genetic algorithms and multi-objective frameworks, we analyze how these design parameters influence the antenna’s performance in terms of gain. Our findings reveal that smaller pixel sizes enhance the gain of large antennas, while asymmetrical designs offer advantages over symmetrical configurations.","2325-0364","979-8-3503-0735-1","10.1109/EMCEurope59828.2024.10722213","European Regional Development Fund; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10722213","Antennas;Genetic algorithm;Particle swarm optimization;Evolutionary computation;Fragmented","Image quality;Antenna measurements;Design methodology;Adaptive arrays;Directive antennas;Electromagnetic compatibility;Size measurement;Antennas;Optimization;Genetic algorithms","","","","21","IEEE","25 Oct 2024","2-5 Sept. 2024","2-5 Sept. 2024","IEEE","IEEE Conferences"
"Effect of bias traces and wires on a MEMS reconfigurable pixelated patch antenna","M. Wright; M. Ali; W. Baron; J. Miller; J. Tuss; D. Zeppettella","University of South Carolina School of Law, Columbia, SC, US; Department of Electrical Engineering, University of South Carolina, Columbia, SC, USA; Aerospace Systems Directorate, Air Force Research Laboratory (AFRL), OH; Aerospace Systems Directorate, Air Force Research Laboratory (AFRL), OH; Aerospace Systems Directorate, Air Force Research Laboratory (AFRL), OH; Aerospace Systems Directorate, Air Force Research Laboratory (AFRL), OH",2016 IEEE International Symposium on Antennas and Propagation (APSURSI),"27 Oct 2016","2016","","","1429","1430","The simulated studies showing the effect of DC bias lines on an aperture coupled reconfigurable pixelated patch antenna for CLAS applications is presented. The simulations show significant deterioration in S11 and gain for all operating modes when copper bias wires are introduced. A solution utilizing very high sheet resistance bias lines in place of copper traces is proposed.","1947-1491","978-1-5090-2886-3","10.1109/APS.2016.7696421","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7696421","","Wires;Patch antennas;Micromechanical devices;Copper;Substrates;Control systems","","3","","6","IEEE","27 Oct 2016","26 June-1 July 2016","26 June-1 July 2016","IEEE","IEEE Conferences"
"MIMO antenna design with pixelated radiator surface for WLAN applications","S. Soltani; P. Lofi; R. D. Murch","Department of Electronic and Computer Engineering; Hong Kong University of Science and Technology, Kowloon, HK; Department of Electronic and Computer Engineering",2016 IEEE International Symposium on Antennas and Propagation (APSURSI),"27 Oct 2016","2016","","","55","56","In this paper we describe a method for the design and optimization of MIMO antennas. A rectangular grid of pixels adjacent to a ground plane with hardwired connections between pixels are used as a design surface for the multiport MIMO antenna. Genetic Algorithm optimization is used to find the optimal configuration of connections between pixels and multiple input port locations under the constraints of good impedance matching across all ports and high isolation between ports over the desired frequency band. As an example results for a 4-port MIMO antenna that operates from 5–6 GHz with dimensions of 41 mm × 25mm connected to a 40mm × 75mm ground plane are provided. The proposed antenna is investigated by simulation and measurement and results demonstrate that MIMO antennas can be designed and optimized effectively using Genetic Algorithms.","1947-1491","978-1-5090-2886-3","10.1109/APS.2016.7695736","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7695736","","Antennas;MIMO;Antenna measurements;Ports (Computers);Optimization;Genetic algorithms;Wireless LAN","","2","","5","IEEE","27 Oct 2016","26 June-1 July 2016","26 June-1 July 2016","IEEE","IEEE Conferences"
"Evolutionary Optimized Pixelated Antennas for 5G IoT Communication","D. Mair; M. Unterladstaetter; M. Renzler; T. Ussmueller","Microelectronics and Implantable Systems, University of Innsbruck, Austria; Microelectronics and Implantable Systems, University of Innsbruck, Austria; Microelectronics and Implantable Systems, University of Innsbruck, Austria; Microelectronics and Implantable Systems, University of Innsbruck, Austria",2022 52nd European Microwave Conference (EuMC),"31 Oct 2022","2022","","","548","551","We present the simulation and optimization of asymmetrical pixelated antennas for 5G Internet of Things applications. Results from a large scale study are presented showing the achievable bandwidth of pixelated asymmetric antennas - using shifted cross shaped elements - with respect to antenna size. This dataset is used to determine the size in which the pixelated antenna is allowed to evolve in to fulfill a bandwidth subscribed by the 5G N20 band. The antenna is optimized autonomously by our software employing evolutionary algorithms leading to an excellent agreement between simulations and measurements.","","978-2-8748-7069-9","10.23919/EuMC54642.2022.9924469","Austrian Research Promotion Agency; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9924469","5g mobile communication;simulation;antenna measurements;antenna radiation patters;genetic algorithm;evolutionary computation;internet of things","Antenna measurements;Image quality;Microwave measurement;Microwave antennas;5G mobile communication;Bandwidth;Frequency measurement","","6","","10","","31 Oct 2022","27-29 Sept. 2022","27-29 Sept. 2022","IEEE","IEEE Conferences"
"Magnetically actuated reconfigurable pixelated antenna","J. Pal; K. Deshpande; L. Chomas; S. Santhanam; F. Donzelli; D. Piazza; J. A. Bain; G. Piazza","Carnegie Mellon University, Pittsburgh, USA; Carnegie Mellon University, Pittsburgh, USA; Carnegie Mellon University, Pittsburgh, USA; Carnegie Mellon University, Pittsburgh, USA; Adant Technologies, Padova, ITALY; Adant Technologies, Padova, ITALY; Carnegie Mellon University, Pittsburgh, USA; Carnegie Mellon University, Pittsburgh, USA",2018 IEEE Micro Electro Mechanical Systems (MEMS),"26 Apr 2018","2018","","","791","794","In this paper, a 6-element pixelated antenna with reconfigurable resonance frequency and polarization is presented. Reconfiguration is achieved by mechanically connecting/disconnecting 6 movable Ni patches to/from fixed Cu patches, hence realizing patch antennas of different sizes and shape. Each movable patch is a cantilevered plate, micro-fabricated from a Ni layer plated on an RT Duroid substrate. The Ni patch is magnetically actuated by means of an electro-permanent magnet (EPM) placed behind the ground plane of the antenna. Since the Ni patch is itself part of the radiating element, this approach eliminates the need to insert an external switch on the antenna plane. The EPM is placed behind the ground plane, therefore eliminating losses associated with bias lines generally used in pixelated antennas. Most importantly, the very low mechanical contact resistance (as low as 200 mΩ) between the Ni and Cu patch ensures high antenna efficiency. The EPM enables latching of the magnetic actuator, hence resulting in zero static configuration power consumption. Measured resonance frequency reconfigurability, radiation pattern and radiation efficiency agree well with simulated data.","2160-1968","978-1-5386-4782-0","10.1109/MEMSYS.2018.8346674","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8346674","","Nickel;Switches;Antenna radiation patterns;Antenna measurements;Stress;Radio frequency","","2","","8","IEEE","26 Apr 2018","21-25 Jan. 2018","21-25 Jan. 2018","IEEE","IEEE Conferences"
"Surrogate-assisted Level Set Topology Optimization for Pixelated Antenna Design","H. Chen; K. Fu; X. Cai; L. Yue; L. Gao","Mechanical and Electrical Engineering College, Guangzhou University, Guangzhou, China; Innovation Center for Electronic Design Automation Technology, School of Electronics and Information, Hangzhou Dianzi University, Hangzhou, China; Mechanical and Electrical Engineering College, Guangzhou University, Guangzhou, China; Mechanical and Electrical Engineering College, Guangzhou University, Guangzhou, China; School of Mechanical Science and Engineering, Huazhong University of Science and Technology, Wuhan, China",IEEE Antennas and Wireless Propagation Letters,"","2026","PP","99","1","5","This letter proposes a novel antenna topology optimization framework consisting of two components. First, a Kriging-based level set method (KLSM) is employed to formulate the antenna optimization problem. The KLSM defines level set values at a small number of knot points and uses Kriging interpolation to generate the geometric representation of the antenna topology. The KLSM reduces the design space dimensionality and transforms the complex discrete pixelated antenna optimization problem into a low-dimensional continuous optimization problem via variable substitution. Second, a dual surrogate-assisted genetic algorithm (DSGA) is proposed to solve the KLSM-based antenna optimization problem. The DSGA employs two surrogate-assisted strategies to improve the traditional genetic algorithm. A local search is performed around the current best individual by using the radial basis function (RBF). A global search is performed by using expected improvement of high-dimensional Kriging to prescreen potential candidate individuals. The proposed surrogate-assisted topology optimization method is validated through the design of a pixelated monopole antenna. Results show that the proposed method outperforms the state-of-the-art methods in both convergence speed and optimization accuracy.","1548-5757","","10.1109/LAWP.2026.3664179","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11394766","Level set method;topology optimization;surrogate;genetic algorithm;pixelated antenna","Antennas;Optimization;Image quality;Level set;Topology;Genetic algorithms;Design methodology;Geometry;Optimization methods;Metals","","","","","IEEE","12 Feb 2026","","","IEEE","IEEE Early Access Articles"
"Deep Learning Aided Modelling and Inverse Design for Multi-Port Antennas","E. A. Karahan; Z. Shao; K. Sengupta","Department of Electrical and Computer Engineering, Princeton University, Princeton, USA; Department of Electrical and Computer Engineering, Princeton University, Princeton, USA; Department of Electrical and Computer Engineering, Princeton University, Princeton, USA",2024 IEEE International Symposium on Antennas and Propagation and INC/USNC‐URSI Radio Science Meeting (AP-S/INC-USNC-URSI),"30 Sep 2024","2024","","","799","800","With the prevalence of multiple-input multiple-output (MIMO) systems, multi-port antenna design has become an important research area. In this work, we approach the multi-port antenna design problem to accelerate the design cycle, expanding design space, and finding non-intuitive designs that can potentially yield better performance than existing template-based designs. To achieve these, we rely on the optimization of a discretized surface, which can implement near-arbitrary antenna shapes. However, performing an electromagnetic (EM) optimization with a large number of variables is prohibitively costly. On the other hand, if EM simulations can be replaced by a machine learning (ML) based approach, antenna optimization could be accelerated greatly. To this end we utilize a convolutional neural network (CNN) for the modeling of multi-port pixelated structures. A genetic algorithm (GA) in conjunction with CNN is used to perform inverse design. Example designs for various optimization targets have been shown in support of the proposed approach.","1947-1491","979-8-3503-6990-8","10.1109/AP-S/INC-USNC-URSI52054.2024.10686871","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10686871","Deep neural networks;antenna design;electromagnetic;mmWave;genetic algorithm;machine learning","Inverse problems;Shape;Computational modeling;Transmitting antennas;Receiving antennas;Convolutional neural networks;Antennas","","3","","8","IEEE","30 Sep 2024","14-19 July 2024","14-19 July 2024","IEEE","IEEE Conferences"
"An automated approach for pixelated antenna topology design incorporating multi-objective optimization algorithms","Y. Li; J. Dong; S. Wang; Y. Wu; B. Xiong; Q. Li; K. Wang; Y. Zhang","School of Information Science and Engineering, Central South University, Changsha, China; School of Information Science and Engineering, Central South University, Changsha, China; School of Information Science and Engineering, Central South University, Changsha, China; School of Electronic Information and Communications, Huazhong University of Science and Technology (HUST), Wuhan, China; School of Electronic Information and Communications, Huazhong University of Science and Technology (HUST), Wuhan, China; School of Electronic Information and Communications, Huazhong University of Science and Technology (HUST), Wuhan, China; Huawei Technologies Co., Ltd., Wuhan Institute, Wuhan, China; Huawei Technologies Co., Ltd., Wuhan Institute, Wuhan, China",2019 International Conference on Microwave and Millimeter Wave Technology (ICMMT),"13 Feb 2020","2019","","","1","3","This paper proposes an approach for pixelated antenna topology design using multi-objective optimization algorithms. The MOBPSO algorithms are applied to investigate the relationship between the pixelated structures and their corresponding performances. A compact dual-band planar antenna design is presented, showing that the proposed approach can provide flexible candidate designs with satisfactory antenna performances without any structural analysis and parametric study and depends only weakly on the initial antenna geometry.","","978-1-7281-2168-0","10.1109/ICMMT45702.2019.8992443","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8992443","","Image quality;Microwave antennas;Geometry;Parametric study;Shape;Design methodology;Millimeter wave technology;Planar arrays;Topology;Optimization","","3","","10","IEEE","13 Feb 2020","19-22 May 2019","19-22 May 2019","IEEE","IEEE Conferences"
"A Design Study of 5G Antennas Optimized Using Genetic Algorithms","V. Gjokaj; J. Doroshewitz; J. Nanzer; P. Chahal","Department of Electrical and Computer Engineering, Michigan State University, East Lansing, MI; Department of Electrical and Computer Engineering, Michigan State University, East Lansing, MI; Department of Electrical and Computer Engineering, Michigan State University, East Lansing, MI; Department of Electrical and Computer Engineering, Michigan State University, East Lansing, MI",2017 IEEE 67th Electronic Components and Technology Conference (ECTC),"3 Aug 2017","2017","","","2086","2091","This paper presents the design of three antenna structures of interest for 5G applications. Antenna designs include: (1) pixelated patch, (2) patch with shorting pins and a (3) monopole antenna. Each of the antenna designs are optimized to operate at desired multiple frequency bands while maintaining high gain. These antenna designs are optimized using genetic algorithms, sometimes referred to as evolutionary algorithms. The optimized antenna designs are fabricated and tested over a wide frequency band for return loss and gain. Simulations are carried out using a commercially available finite element modeling tool, and the measured and simulation results are presented. This paper highlights the benefits of each of these antenna designs for use in 5G applications.","2377-5726","978-1-5090-6315-4","10.1109/ECTC.2017.286","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7999969","Antenna design;Genetic algorithms;Monopole antenna;Pixel Patch antenna;Shorting pin patch antenna","Patch antennas;Pins;Antenna measurements;MATLAB;Genetic algorithms;Image quality","","18","","10","IEEE","3 Aug 2017","30 May-2 June 2017","30 May-2 June 2017","IEEE","IEEE Conferences"
"Pixelated design for multiple antennas in MIMO handset applications","Yen-Sheng Chen; Ting-Yu Ku","Department of Electronic Engineering, National Taipei University of Technology, Taipei, Taiwan, R.O.C.; Department of Electronic Engineering, National Taipei University of Technology, Taipei, Taiwan, R.O.C.",2015 Asia-Pacific Symposium on Electromagnetic Compatibility (APEMC),"6 Aug 2015","2015","","","192","195","It is well-known that channel throughput can be greatly enhanced by using a multiple-input-multiple-output (MIMO) antenna system. To implement such a multiple-antenna structure in handset environments, conventional design approaches rely on fine tuning the geometric parameters of antenna layouts. In this paper, a completely different framework is implemented to develop the multiple antennas. Rather than tuning the geometric parameters, we discretize the design space into several pixels. Afterward, powerful multi-objective optimization algorithms may automatically find the best antenna topologies by varying the distribution of these pixels. Our preliminary results show that the impedance requirement of each antenna can be met, and the mutual coupling between the multiple antennas can be kept at a very low level Most importantly, all the performances are automatically determined by the pixelated design technique. Therefore, the design cycle can be greatly reduced.","2162-7673","978-1-4799-6670-7","10.1109/APEMC.2015.7175232","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7175232","","Sociology;Statistics;Antennas;Optimization;Couplings","","","","12","IEEE","6 Aug 2015","26-29 May 2015","26-29 May 2015","IEEE","IEEE Conferences"
"Full-Range Amplitude–Phase Metacells for Sidelobe Suppression of Metalens Antenna Using Prior-Knowledge-Guided Deep- Learning -Enabled Synthesis","P. Liu; Z. N. Chen","Department of Electrical and Computer Engineering, National University of Singapore, Queenstown, Singapore; Department of Electrical and Computer Engineering, National University of Singapore, Queenstown, Singapore",IEEE Transactions on Antennas and Propagation,"1 Jun 2023","2023","71","6","5036","5045","A prior-knowledge-guided deep-learning-enabled (PK-DL) synthesis method is proposed to design the metacells with the full-range amplitude and phase control for suppressing the sidelobe levels (SLLs) of a metalens antenna. The PK-DL synthesis method is based on a conditional deep convolutional generative adversarial network (cDCGAN). First, the metacells are pixelated to offer the higher degrees of design freedom and expand their transmission responses to full 2-D coverage of amplitude and phase responses so that a full-range metacell dataset is built up to simultaneously control the amplitude and phase of a single metacell. Conventionally, by optimizing the dimensions of predefined patterns of a metacell, only the phase response of a single metacell is achieved with a specific amplitude response, and vice versa. The metalens design based on the synthesized metacells has much higher degrees of freedom so that the metalens antenna has the potential to break the ceiling of performance and to realize more functions than existing metalens designs. As examples, two types of single-lens metalens antennas are designed for sidelobe suppression using the proposed metacell dataset. The first metalens is excited by a dipole antenna with an omnidirectional radiation pattern to demonstrate the simultaneous control of amplitude and phase responses using the synthesized metacells. The second metalens fed by a standard horn antenna is designed to suppress the SLLs in both the E- and H-planes. The horn-fed square metalens has an aperture of  $13.2\times 13.2\,\,\lambda _{0}$  at 12 GHz. Measurement shows that the proposed metalens antenna realizes the gain of 26.9 dBi at 12 GHz and the first SLLs in the E- and H-planes are −33.2 and −30.9 dB, respectively. The proposed synthesis method greatly expands the boundary of amplitude and phase responses of a single metacell so that the metacell dataset offers much higher degrees of freedom for not only metalenses but also other metasurfaces.","1558-2221","","10.1109/TAP.2023.3263929","Advanced Research and Technology Innovation Centre (ARTIC), the National University of Singapore(grant numbers:A-0005947-15-00); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10097635","Deep learning (DL);full-range amplitude–phase metacells;metalens antenna;sidelobe suppression;synthesis method","Dipole antennas;Antenna radiation patterns;Antenna feeds;Antennas;Metasurfaces;Transmitting antennas;Image quality","","56","","49","IEEE","7 Apr 2023","June 2023","","IEEE","IEEE Journals"
"A Novel Optimization Technique for Designing Frequency Reconfigurable Pixelated Planar Antenna","T. Qiao; S. Tang; J. Rao; Y. Zhang; C. -Y. Chiu; Q. S. Cheng; R. Murch","Department of Electrical and Electronic Engineering, Southern University of Science and Technology, Shenzhen, China; Department of Electronic and Computer Engineering, The Hong Kong University of Science and Technology, Hong Kong; Department of Electronic and Computer Engineering, The Hong Kong University of Science and Technology, Hong Kong; Department of Electronic and Computer Engineering, The Hong Kong University of Science and Technology, Hong Kong; Department of Electronic and Computer Engineering, The Hong Kong University of Science and Technology, Hong Kong; Department of Electrical and Electronic Engineering, Southern University of Science and Technology, Shenzhen, China; Department of Electronic and Computer Engineering, The Hong Kong University of Science and Technology, Hong Kong",2023 IEEE International Symposium on Antennas and Propagation and USNC-URSI Radio Science Meeting (USNC-URSI),"7 Sep 2023","2023","","","1757","1758","A novel method incorporating joint perturbation sensitivity analysis is proposed in this paper to design frequency reconfigurable planar antennas with a pixelated surface. Using our method, an antenna design having two switched working frequency bands and omnidirectional radiation patterns, is optimized. The simulation results verify its efficacy and potential computation efficiency.","1947-1491","978-1-6654-4228-2","10.1109/USNC-URSI52151.2023.10237669","National Natural Science Foundation of China(grant numbers:62071211); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10237669","Optimization technique;sensitivity analysis;frequency reconfigurable antenna;pixel antenna","Image quality;Sensitivity analysis;PIN photodiodes;Simulation;Perturbation methods;Design methodology;Switches","","","","5","IEEE","7 Sep 2023","23-28 July 2023","23-28 July 2023","IEEE","IEEE Conferences"
"Frequency-domain and time-domain performance enhancements of ultra-wideband antennas using multiobjective optimization techniques","Y. -S. Chen","Department of Electronic Engineering, National Taipei University of Technology, Taipei, Taiwan",2016 10th European Conference on Antennas and Propagation (EuCAP),"2 Jun 2016","2016","","","1","4","Two multiobjective optimization techniques for ultra-wideband (UWB) antenna design are presented. While most of the optimization methods for UWB antenna design cope with only the impedance characteristics, the proposed techniques handle all the frequency-domain and time-domain design goals, including wide impedance bandwidth, constant gain variation, and high fidelity factors, thereby leading to an efficient and systematic way for UWB antenna development. The first technique is based on size optimization, using fractional factorial designs (FFDs) to build the response surface model for each design goal. The second technique is based on topology optimization, using strength Pareto evolutionary algorithm 2 (SPEA2) to obtain the optimum pixelated layout. The two multiobjective optimization methods are respectively applied to the design problem of UWB planar monopole antennas. Both techniques exhibit excellent performances, and all the design tasks are successfully achieved.","","978-8-8907-0186-3","10.1109/EuCAP.2016.7481600","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7481600","antennas;design methodology;monopole antennas;optimization methods;ultra-wideband antennas","Antenna measurements;Ultra wideband antennas;Time-domain analysis;Topology;Optimization methods","","5","","12","","2 Jun 2016","10-15 April 2016","10-15 April 2016","IEEE","IEEE Conferences"
"Superstrate configurations for a MEMS reconfigurable pixelated patch antenna for CLAS","M. Wright; M. Ali; W. Baron; J. Miller; J. Tuss; D. Zeppettella","University of South Carolina School of Law, Columbia, SC, US; University of South Carolina School of Law, Columbia, SC, US; Air Force Research Laboratory Information Directorate, Rome, NY, US; Air Force Research Laboratory Information Directorate, Rome, NY, US; Air Force Research Laboratory Information Directorate, Rome, NY, US; Air Force Research Laboratory Information Directorate, Rome, NY, US",2015 IEEE International Symposium on Antennas and Propagation & USNC/URSI National Radio Science Meeting,"26 Oct 2015","2015","","","2387","2388","The experimental and simulation studies of an aperture coupled reconfigurable pixelated patch antenna for CLAS applications is presented. The antenna active dimensions are reconfigured to attain a wide swath of bandwidths within the 1–2 GHz frequency range. Simulated return loss bandwidths are between 8%–26% while measured bandwidths are between 6%–24% when the antenna is reconfigured from low to high frequency bands.","1947-1491","978-1-4799-7815-1","10.1109/APS.2015.7305582","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7305582","","Antenna measurements;Bandwidth;Frequency measurement;Patch antennas;Substrates;Apertures","","3","","5","IEEE","26 Oct 2015","19-24 July 2015","19-24 July 2015","IEEE","IEEE Conferences"
"A Low-Scattering Pixelated Dielectric Rod Waveguide Probe for Near-Field Measurement","H. J. Lim; H. -B. Park; K. C. Hwang","Department of Electrical and Computer Engineering, Sungkyunkwan University, Suwon, South Korea; Global Technology Center, Samsung Electronics Company, Ltd, Suwon, South Korea; Department of Electrical and Computer Engineering, Sungkyunkwan University, Suwon, South Korea",IEEE Transactions on Antennas and Propagation,"16 Dec 2021","2021","69","12","8920","8925","A 3.4–3.7 GHz dielectric rod waveguide probe for near-field measurements is proposed for applications on the 5G sub-6 GHz band. By implementing a dielectric-filled waveguide, the probe achieved a higher resolution and low scattering characteristics through a miniaturized aperture compared to the open-ended waveguide (OEWG) used for conventional near-field probes. An  $8\times 8$  pixelated grid structure in the dielectric launcher section of the probe is implemented to further reduce the scattering characteristics of the probe. The proposed probe is fabricated and experimentally verified. A coating of silver is applied to the dielectric during a production process. Measurement shows that the −10 dB reflection coefficient bandwidth meets 3.4–3.7 GHz requirement and that the radiation pattern shows a broadside gain of about 3.8 dBi with no null at the forward hemisphere. The results of a scattering characteristic experiment indicate decreased interferer level of 7.3 dB compared to an OEWG.","1558-2221","","10.1109/TAP.2021.3098587","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9496136","5G;dielectric rod waveguide;low-scattering;near-field measurement;probe","Probes;Dielectrics;Scattering;Electromagnetic waveguides;Antenna measurements;Image quality;Apertures","","8","","16","IEEE","26 Jul 2021","Dec. 2021","","IEEE","IEEE Journals"
"A MEMS reconfigurable pixel microstrip patch antenna for conformal load bearing antenna structures (CLAS) concept","M. Ali; N. Bishop; W. Baron; B. Smyers; J. Tuss; D. Zeppettella","Department of Electrical Engineering, University of South Carolina, Columbia, SC, USA; Department of Electrical Engineering, University of South Carolina, Columbia, SC, USA; Wright Patterson Air Force Base, Air Force Research Laboratory, OH; Wright Patterson Air Force Base, Air Force Research Laboratory, OH; Wright Patterson Air Force Base, Air Force Research Laboratory, OH; Wright Patterson Air Force Base, Air Force Research Laboratory, OH",2014 IEEE Antennas and Propagation Society International Symposium (APSURSI),"22 Sep 2014","2014","","","1093","1094","A four by four pixelated microstrip patch antenna is reconfigured in three frequencies using RF MEMS switches. The proposed antenna can be integrated within a physical structure under the CLAS concept which can replace bolt-on antennas. Structural testing of the antenna clearly demonstrates the structural robustness of this CLAS reconfigurable antenna.","1947-1491","978-1-4799-3540-6","10.1109/APS.2014.6904873","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6904873","","Microstrip antennas;Patch antennas;Microstrip;Radio frequency;Microswitches","","14","","8","IEEE","22 Sep 2014","6-11 July 2014","6-11 July 2014","IEEE","IEEE Conferences"
"Brain Storm Optimization for Electromagnetic Applications: Continuous and Discrete","A. Aldhafeeri; Y. Rahmat-Samii","University of California Los Angeles, Los Angeles, CA, US; University of California Los Angeles, Los Angeles, CA, US",IEEE Transactions on Antennas and Propagation,"9 Apr 2019","2019","67","4","2710","2722","Brain storm optimization (BSO) is a swarm intelligence optimization algorithm inspired by the collective behavior of human beings in solving problems. This paper provides a conceptual overview and detailed explanation of the BSO algorithm. For the first time, the effectiveness of BSO in electromagnetic applications is demonstrated using a Yagi–Uda antenna design and a Luneburg lens antenna design, and this effectiveness is further validated via optimization, prototyping, and measurement of a dual-band slotted patch antenna design. In addition, a novel binary version of BSO (BBSO) for optimizing discrete problems is proposed, and the process of transforming the concept of BSO into a binary language is discussed in detail. A method for selecting algorithm parameter values for BBSO is shown. Finally, BBSO is applied successfully to an array thinning example and a pixelated patch antenna design.","1558-2221","","10.1109/TAP.2019.2894318","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8624562","Antenna design;array antennas;brain storm;genetic algorithm (GA);Luneburg lens;optimization;particle swarm;patch antennas;Yagi–Uda antennas","Optimization;Sociology;Statistics;Electromagnetics;Antenna measurements;Antenna arrays;Clustering algorithms","","66","","41","IEEE","23 Jan 2019","April 2019","","IEEE","IEEE Journals"
"A pixelated pattern reconfigurable Yagi-Uda array for conformal loadbearing antenna structure (CLAS)","M. Ali; N. Bishop; M. Wright; W. Baron; J. Miller; J. Tuss; D. Zeppettella","Department of Electrical Engineering, University of South Carolina, Columbia, SC, USA; Department of Electrical Engineering, University of South Carolina, Columbia, SC, USA; Department of Electrical Engineering, University of South Carolina, Columbia, SC, USA; Wright Patterson Air Force Base (WPAFB), Air Force Research Laboratory (AFRL), OH; Wright Patterson Air Force Base (WPAFB), Air Force Research Laboratory (AFRL), OH; Wright Patterson Air Force Base (WPAFB), Air Force Research Laboratory (AFRL), OH; Wright Patterson Air Force Base (WPAFB), Air Force Research Laboratory (AFRL), OH",2014 IEEE Antennas and Propagation Society International Symposium (APSURSI),"22 Sep 2014","2014","","","1089","1090","A conformal pixelated pattern reconfigurable Yagi-Uda array is proposed. The array operates at around 2.5 GHz and can steer the beam in the 45 and -45 degree directions with the help of RF switches and a metal reflector placed 1 inch below the array surface.","1947-1491","978-1-4799-3540-6","10.1109/APS.2014.6904871","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6904871","","Arrays;Yagi-Uda antennas;Image quality;Broadband antennas;Loaded antennas","","2","","7","IEEE","22 Sep 2014","6-11 July 2014","6-11 July 2014","IEEE","IEEE Conferences"
"Accurate and efficient modeling of gain patterns of multiband pixelated antenna by deep neural networks","J. P. Jacobs","University of Pretoria, South Africa",2022 International Conference on Electromagnetics in Advanced Applications (ICEAA),"28 Sep 2022","2022","","","306","306","Pixelated microstrip antennas present considerable versatility to antenna designers in that their geometries can assume a great variety of shapes and sizes. The design process however usually entails significant computational expense, as evolutionary algorithms in conjunction with direct full-wave simulations need to be used in order to discover an optimal antenna geometry that would best yield the desired performance characteristics – e.g. thousands of full-wave simulations of candidate geometries may be required before this objective is attained. This suggests the need for computationally inexpensive machine-learning-based models that can be used as surrogates for the full-wave simulations.","","978-1-6654-8111-3","10.1109/ICEAA49419.2022.9899948","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9899948","","Geometry;Image quality;Deep learning;Shape;Computational modeling;Neural networks;Microstrip antennas","","","","2","IEEE","28 Sep 2022","5-9 Sept. 2022","5-9 Sept. 2022","IEEE","IEEE Conferences"
